Unnamed: 0,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,Supertrend Values,Supertrend Signal
237,Ok,2023-10-03 11:32:00,1696312920,19532.4,19533.55,19528.95,19531.35,0.0,0,0,0,0,19535.1123131962,-1
236,Ok,2023-10-03 11:33:00,1696312980,19531.3,19534.95,19530.3,19533.55,0.0,0,0,0,0,19535.1123131962,-1
235,Ok,2023-10-03 11:34:00,1696313040,19533.7,19534.65,19530.55,19530.55,0.0,0,0,0,0,19535.1123131962,-1
234,Ok,2023-10-03 11:35:00,1696313100,19530.9,19532.0,19516.6,19517.1,0.0,0,0,0,0,19532.088027980357,-1
233,Ok,2023-10-03 11:36:00,1696313160,19517.25,19523.95,19517.15,19518.85,0.0,0,0,0,0,19528.456571363407,-1
232,Ok,2023-10-03 11:37:00,1696313220,19520.3,19530.8,19519.85,19529.2,0.0,0,0,0,0,19516.94091503624,1
231,Ok,2023-10-03 11:38:00,1696313280,19529.65,19531.6,19527.1,19529.0,0.0,0,0,0,0,19521.043797818103,1
230,Ok,2023-10-03 11:39:00,1696313340,19529.85,19532.5,19528.9,19530.75,0.0,0,0,0,0,19522.532305624718,1
229,Ok,2023-10-03 11:40:00,1696313400,19530.65,19533.7,19530.65,19533.3,0.0,0,0,0,0,19524.1785243202,1
228,Ok,2023-10-03 11:41:00,1696313460,19532.9,19534.8,19531.5,19531.55,0.0,0,0,0,0,19525.298706041925,1
227,Ok,2023-10-03 11:42:00,1696313520,19532.95,19536.05,19531.6,19534.45,0.0,0,0,0,0,19526.02618698078,1
226,Ok,2023-10-03 11:43:00,1696313580,19534.1,19536.1,19532.7,19533.45,0.0,0,0,0,0,19526.72979143334,1
225,Ok,2023-10-03 11:44:00,1696313640,19532.15,19533.75,19526.25,19526.25,0.0,0,0,0,0,19537.840787943376,-1
224,Ok,2023-10-03 11:45:00,1696313700,19527.0,19527.6,19521.6,19522.1,0.0,0,0,0,0,19532.496023402105,-1
223,Ok,2023-10-03 11:46:00,1696313760,19522.7,19523.6,19518.05,19518.45,0.0,0,0,0,0,19528.7414631534,-1
222,Ok,2023-10-03 11:47:00,1696313820,19517.7,19518.65,19513.15,19513.9,0.0,0,0,0,0,19523.83235496393,-1
221,Ok,2023-10-03 11:48:00,1696313880,19514.5,19514.5,19507.3,19507.7,0.0,0,0,0,0,19518.968984029743,-1
220,Ok,2023-10-03 11:49:00,1696313940,19506.95,19511.05,19504.15,19511.0,0.0,0,0,0,0,19515.777660304673,-1
219,Ok,2023-10-03 11:50:00,1696314000,19509.3,19512.1,19505.95,19510.6,0.0,0,0,0,0,19515.777660304673,-1
218,Ok,2023-10-03 11:51:00,1696314060,19510.9,19514.8,19510.35,19513.5,0.0,0,0,0,0,19515.777660304673,-1
217,Ok,2023-10-03 11:52:00,1696314120,19511.75,19513.95,19510.8,19513.1,0.0,0,0,0,0,19515.777660304673,-1
216,Ok,2023-10-03 11:53:00,1696314180,19512.05,19514.3,19510.15,19512.8,0.0,0,0,0,0,19515.777660304673,-1
215,Ok,2023-10-03 11:54:00,1696314240,19512.25,19515.1,19511.9,19514.95,0.0,0,0,0,0,19515.777660304673,-1
214,Ok,2023-10-03 11:55:00,1696314300,19513.75,19514.3,19510.7,19512.75,0.0,0,0,0,0,19515.777660304673,-1
213,Ok,2023-10-03 11:56:00,1696314360,19512.6,19514.55,19512.6,19513.1,0.0,0,0,0,0,19515.777660304673,-1
212,Ok,2023-10-03 11:57:00,1696314420,19512.15,19515.1,19510.95,19511.4,0.0,0,0,0,0,19515.777660304673,-1
211,Ok,2023-10-03 11:58:00,1696314480,19510.75,19512.1,19509.3,19510.5,0.0,0,0,0,0,19515.777660304673,-1
210,Ok,2023-10-03 11:59:00,1696314540,19511.2,19511.75,19509.25,19509.25,0.0,0,0,0,0,19515.777660304673,-1
209,Ok,2023-10-03 12:00:00,1696314600,19508.7,19512.55,19508.7,19509.6,0.0,0,0,0,0,19515.777660304673,-1
208,Ok,2023-10-03 12:01:00,1696314660,19509.1,19511.75,19507.3,19511.1,0.0,0,0,0,0,19515.777660304673,-1
207,Ok,2023-10-03 12:02:00,1696314720,19510.15,19514.9,19510.15,19513.65,0.0,0,0,0,0,19515.777660304673,-1
206,Ok,2023-10-03 12:03:00,1696314780,19513.55,19514.45,19511.65,19512.3,0.0,0,0,0,0,19515.777660304673,-1
205,Ok,2023-10-03 12:04:00,1696314840,19511.4,19515.45,19511.15,19513.5,0.0,0,0,0,0,19515.777660304673,-1
204,Ok,2023-10-03 12:05:00,1696314900,19513.6,19517.7,19513.6,19516.4,0.0,0,0,0,0,19508.81801360995,1
203,Ok,2023-10-03 12:06:00,1696314960,19516.65,19522.85,19516.05,19521.15,0.0,0,0,0,0,19512.45759564364,1
202,Ok,2023-10-03 12:07:00,1696315020,19521.1,19523.6,19518.95,19522.4,0.0,0,0,0,0,19514.283424601486,1
201,Ok,2023-10-03 12:08:00,1696315080,19522.9,19526.1,19521.85,19524.55,0.0,0,0,0,0,19517.012791373094,1
200,Ok,2023-10-03 12:09:00,1696315140,19525.55,19525.55,19521.35,19524.2,0.0,0,0,0,0,19517.012791373094,1
199,Ok,2023-10-03 12:10:00,1696315200,19524.65,19525.4,19521.25,19523.2,0.0,0,0,0,0,19517.012791373094,1
198,Ok,2023-10-03 12:11:00,1696315260,19524.85,19525.8,19523.0,19524.6,0.0,0,0,0,0,19517.631395038614,1
197,Ok,2023-10-03 12:12:00,1696315320,19525.35,19526.8,19522.95,19525.4,0.0,0,0,0,0,19518.15371756579,1
196,Ok,2023-10-03 12:13:00,1696315380,19525.45,19526.65,19519.45,19524.5,0.0,0,0,0,0,19518.15371756579,1
195,Ok,2023-10-03 12:14:00,1696315440,19525.05,19525.25,19521.7,19522.85,0.0,0,0,0,0,19518.15371756579,1
194,Ok,2023-10-03 12:15:00,1696315500,19523.4,19525.6,19521.7,19522.45,0.0,0,0,0,0,19518.15371756579,1
193,Ok,2023-10-03 12:16:00,1696315560,19521.6,19526.45,19520.75,19524.65,0.0,0,0,0,0,19518.15371756579,1
192,Ok,2023-10-03 12:17:00,1696315620,19526.6,19530.55,19524.55,19527.9,0.0,0,0,0,0,19520.57251769097,1
191,Ok,2023-10-03 12:18:00,1696315680,19528.45,19529.5,19526.9,19529.15,0.0,0,0,0,0,19521.3690829688,1
190,Ok,2023-10-03 12:19:00,1696315740,19529.3,19537.1,19528.8,19536.15,0.0,0,0,0,0,19525.85147541733,1
189,Ok,2023-10-03 12:20:00,1696315800,19535.95,19540.25,19535.95,19537.3,0.0,0,0,0,0,19531.0323610766,1
188,Ok,2023-10-03 12:21:00,1696315860,19537.25,19537.25,19532.75,19534.25,0.0,0,0,0,0,19531.0323610766,1
187,Ok,2023-10-03 12:22:00,1696315920,19534.55,19534.75,19530.25,19531.3,0.0,0,0,0,0,19531.0323610766,1
186,Ok,2023-10-03 12:23:00,1696315980,19531.75,19534.0,19526.05,19526.25,0.0,0,0,0,0,19537.299076825155,-1
185,Ok,2023-10-03 12:24:00,1696316040,19526.5,19529.7,19525.8,19527.15,0.0,0,0,0,0,19534.95625725466,-1
184,Ok,2023-10-03 12:25:00,1696316100,19527.9,19530.75,19526.4,19528.4,0.0,0,0,0,0,19534.95625725466,-1
183,Ok,2023-10-03 12:26:00,1696316160,19529.15,19533.55,19528.25,19532.3,0.0,0,0,0,0,19534.95625725466,-1
182,Ok,2023-10-03 12:27:00,1696316220,19532.55,19534.55,19530.6,19531.6,0.0,0,0,0,0,19534.95625725466,-1
181,Ok,2023-10-03 12:28:00,1696316280,19532.6,19534.65,19530.65,19533.05,0.0,0,0,0,0,19534.95625725466,-1
180,Ok,2023-10-03 12:29:00,1696316340,19533.8,19535.0,19529.5,19529.6,0.0,0,0,0,0,19534.95625725466,-1
179,Ok,2023-10-03 12:30:00,1696316400,19530.25,19533.9,19529.5,19530.1,0.0,0,0,0,0,19534.95625725466,-1
178,Ok,2023-10-03 12:31:00,1696316460,19531.5,19536.3,19529.9,19533.8,0.0,0,0,0,0,19534.95625725466,-1
177,Ok,2023-10-03 12:32:00,1696316520,19533.7,19534.45,19528.8,19530.05,0.0,0,0,0,0,19534.95625725466,-1
176,Ok,2023-10-03 12:33:00,1696316580,19530.15,19532.7,19527.75,19527.75,0.0,0,0,0,0,19534.95625725466,-1
175,Ok,2023-10-03 12:34:00,1696316640,19527.6,19530.15,19524.7,19525.0,0.0,0,0,0,0,19534.772610578973,-1
174,Ok,2023-10-03 12:35:00,1696316700,19525.2,19528.2,19524.4,19525.85,0.0,0,0,0,0,19533.5691486111,-1
173,Ok,2023-10-03 12:36:00,1696316760,19526.15,19526.9,19522.05,19523.05,0.0,0,0,0,0,19531.74442726328,-1
172,Ok,2023-10-03 12:37:00,1696316820,19522.95,19528.4,19521.65,19527.7,0.0,0,0,0,0,19531.74442726328,-1
171,Ok,2023-10-03 12:38:00,1696316880,19528.05,19530.5,19527.1,19529.9,0.0,0,0,0,0,19531.74442726328,-1
170,Ok,2023-10-03 12:39:00,1696316940,19530.7,19531.7,19528.5,19529.15,0.0,0,0,0,0,19531.74442726328,-1
169,Ok,2023-10-03 12:40:00,1696317000,19529.7,19533.0,19529.3,19531.5,0.0,0,0,0,0,19531.74442726328,-1
